Color	Position	Sample Name	Gene Name	Cq	Cq Error	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
255;0;0;255	D8	09-134	TOX	23.58	4.00	-	Positive	Unchecked	Unknown	-	20.75	-	-	D7	SYBR Green I	 	0.50	2.72	None			44
255;0;0;255	D7	09-134	TOX	17.92	4.00	-	Positive	Unchecked	Unknown	-	20.75	-	-	D7	SYBR Green I	 	0.14	1.65	None			43
255;0;0;255	E12	12-374	TOX	29.53	2.02	-	Positive	Unchecked	Unknown	-	30.96	-	-	E11	SYBR Green I	 	0.27	1.19	None			60
255;0;0;255	E11	12-374	TOX	32.39	2.02	-	Positive	Unchecked	Unknown	-	30.96	-	-	E11	SYBR Green I	 	0.18	0.52	None			59
255;0;0;255	C12	12-071	TOX	24.46	0.25	-	Positive	Unchecked	Unknown	-	24.28	-	-	C11	SYBR Green I	 	0.46	2.55	None			36
255;0;0;255	C11	12-071	TOX	24.10	0.25	-	Positive	Unchecked	Unknown	-	24.28	-	-	C11	SYBR Green I	 	0.41	2.47	None			35
255;0;0;255	A6	12-053	TOX	25.84	0.18	-	Positive	Unchecked	Unknown	-	25.72	-	-	A5	SYBR Green I	 	0.25	1.48	None			6
255;0;0;255	A5	12-053	TOX	25.59	0.18	-	Positive	Unchecked	Unknown	-	25.72	-	-	A5	SYBR Green I	 	0.26	1.52	None			5
255;0;0;255	G10	12-043	TOX	24.72	0.13	-	Positive	Unchecked	Unknown	-	24.82	-	-	G9	SYBR Green I	 	0.32	2.16	None			82
255;0;0;255	G9	12-043	TOX	24.91	0.13	-	Positive	Unchecked	Unknown	-	24.82	-	-	G9	SYBR Green I	 	0.32	2.16	None			81
255;0;0;255	C10	09-146	TOX	23.85	0.13	-	Positive	Unchecked	Unknown	-	23.76	-	-	C9	SYBR Green I	 	0.49	2.68	None			34
255;0;0;255	C9	09-146	TOX	23.66	0.13	-	Positive	Unchecked	Unknown	-	23.76	-	-	C9	SYBR Green I	 	0.40	2.48	None			33
255;0;0;255	E8	09-165	TOX	23.23	0.11	-	Positive	Unchecked	Unknown	-	23.15	-	-	E7	SYBR Green I	 	0.50	2.76	None			56
255;0;0;255	E7	09-165	TOX	23.07	0.11	-	Positive	Unchecked	Unknown	-	23.15	-	-	E7	SYBR Green I	 	0.32	2.24	None			55
255;0;0;255	A8	06-015	TOX	24.20	0.10	-	Positive	Unchecked	Unknown	-	24.27	-	-	A7	SYBR Green I	 	0.53	2.76	None			8
255;0;0;255	A7	06-015	TOX	24.34	0.10	-	Positive	Unchecked	Unknown	-	24.27	-	-	A7	SYBR Green I	 	0.53	2.75	None			7
255;0;0;255	B2	07-119	TOX	22.56	0.10	-	Positive	Unchecked	Unknown	-	22.49	-	-	B1	SYBR Green I	 	0.43	2.66	None			14
255;0;0;255	B1	07-119	TOX	22.42	0.10	-	Positive	Unchecked	Unknown	-	22.49	-	-	B1	SYBR Green I	 	0.43	2.69	None			13
255;0;0;255	G12	09-144	TOX	23.71	0.06	-	Positive	Unchecked	Unknown	-	23.67	-	-	G11	SYBR Green I	 	0.54	2.81	None			84
255;0;0;255	G11	09-144	TOX	23.62	0.06	-	Positive	Unchecked	Unknown	-	23.67	-	-	G11	SYBR Green I	 	0.46	2.61	None			83
255;0;0;255	H8	16-189	TOX	24.23	0.06	-	Positive	Unchecked	Unknown	-	24.19	-	-	H7	SYBR Green I	 	0.54	2.78	None			92
255;0;0;255	H7	16-189	TOX	24.14	0.06	-	Positive	Unchecked	Unknown	-	24.19	-	-	H7	SYBR Green I	 	0.49	2.66	None			91
255;0;0;255	G8	11-092	TOX	25.88	0.06	-	Positive	Unchecked	Unknown	-	25.84	-	-	G7	SYBR Green I	 	0.38	2.26	None			80
