Color	Position	Sample Name	Gene Name	Cq	Cq Error	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
255;0;255;0	G2	GB	TOX	26.08	0.31	-	Positive	Unchecked	Positive control	-	26.50	-	-	F1	SYBR Green I	 	0.29	1.54	None			74
255;0;255;0	G1	GB	TOX	26.47	0.31	-	Positive	Unchecked	Positive control	-	26.50	-	-	F1	SYBR Green I	 	0.46	2.04	None			73
255;0;255;0	F2	GB	TOX	26.74	0.31	-	Positive	Unchecked	Positive control	-	26.50	-	-	F1	SYBR Green I	 	0.37	1.77	None			62
255;0;255;0	F1	GB	TOX	26.72	0.31	-	Positive	Unchecked	Positive control	-	26.50	-	-	F1	SYBR Green I	 	0.46	2.03	None			61
255;0;0;255	B12	08-080	TOX	28.70	0.26	-	Positive	Unchecked	Unknown	-	28.89	-	-	B11	SYBR Green I	 	0.42	1.64	None			24
255;0;0;255	B11	08-080	TOX	29.07	0.26	-	Positive	Unchecked	Unknown	-	28.89	-	-	B11	SYBR Green I	 	0.33	1.46	None			23
255;0;0;255	H12	08-103	TOX	25.09	0.16	-	Positive	Unchecked	Unknown	-	24.98	-	-	H11	SYBR Green I	 	0.33	2.14	None			96
255;0;0;255	H11	08-103	TOX	24.87	0.16	-	Positive	Unchecked	Unknown	-	24.98	-	-	H11	SYBR Green I	 	0.31	2.07	None			95
255;0;0;255	G4	08-019	TOX	25.33	0.16	-	Positive	Unchecked	Unknown	-	25.22	-	-	G3	SYBR Green I	 	0.24	1.87	None			76
255;0;0;255	G3	08-019	TOX	25.11	0.16	-	Positive	Unchecked	Unknown	-	25.22	-	-	G3	SYBR Green I	 	0.20	1.69	None			75
255;0;0;255	A12	08-079	TOX	26.54	0.14	-	Positive	Unchecked	Unknown	-	26.44	-	-	A11	SYBR Green I	 	0.45	2.05	None			12
255;0;0;255	A11	08-079	TOX	26.34	0.14	-	Positive	Unchecked	Unknown	-	26.44	-	-	A11	SYBR Green I	 	0.40	1.95	None			11
255;0;0;255	B2	08-114	TOX	28.05	0.12	-	Positive	Unchecked	Unknown	-	28.14	-	-	B1	SYBR Green I	 	0.36	1.56	None			14
255;0;0;255	B1	08-114	TOX	28.22	0.12	-	Positive	Unchecked	Unknown	-	28.14	-	-	B1	SYBR Green I	 	0.44	1.72	None			13
