Color	Position	Sample Name	Gene Name	Cq	Cq Error	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
255;0;0;255	G4	06-218	TOX	31.00	0.49	-	Positive	Unchecked	Unknown	-	30.66	-	-	G3	SYBR Green I	 	0.45	1.29	None			76
255;0;0;255	G3	06-218	TOX	30.31	0.49	-	Positive	Unchecked	Unknown	-	30.66	-	-	G3	SYBR Green I	 	0.26	1.08	None			75
255;0;0;255	A4	06-207	TOX	25.79	0.21	-	Positive	Unchecked	Unknown	-	25.65	-	-	A3	SYBR Green I	 	0.41	2.28	None			4
255;0;0;255	A3	06-207	TOX	25.50	0.21	-	Positive	Unchecked	Unknown	-	25.65	-	-	A3	SYBR Green I	 	0.30	1.94	None			3
255;0;0;255	B12	10-211	TOX	24.19	0.18	-	Positive	Unchecked	Unknown	-	24.32	-	-	B11	SYBR Green I	 	0.45	2.47	None			24
255;0;0;255	B11	10-211	TOX	24.45	0.18	-	Positive	Unchecked	Unknown	-	24.32	-	-	B11	SYBR Green I	 	0.48	2.54	None			23
255;0;0;255	C4	06-211	TOX	29.69	0.18	-	Positive	Unchecked	Unknown	-	29.57	-	-	C3	SYBR Green I	 	0.46	1.67	None			28
255;0;0;255	C3	06-211	TOX	29.44	0.18	-	Positive	Unchecked	Unknown	-	29.57	-	-	C3	SYBR Green I	 	0.44	1.70	None			27
255;0;0;255	B10	10-291	TOX	23.37	0.18	-	Positive	Unchecked	Unknown	-	23.50	-	-	B9	SYBR Green I	 	0.35	2.27	None			22
255;0;0;255	B9	10-291	TOX	23.62	0.18	-	Positive	Unchecked	Unknown	-	23.50	-	-	B9	SYBR Green I	 	0.42	2.47	None			21
255;0;0;255	C6	06-222	TOX	26.77	0.15	-	Positive	Unchecked	Unknown	-	26.67	-	-	C5	SYBR Green I	 	0.50	2.17	None			30
255;0;0;255	C5	06-222	TOX	26.56	0.15	-	Positive	Unchecked	Unknown	-	26.67	-	-	C5	SYBR Green I	 	0.45	2.08	None			29
255;0;0;255	F12	12-020	TOX	23.67	0.15	-	Positive	Unchecked	Unknown	-	23.78	-	-	F11	SYBR Green I	 	0.41	2.42	None			72
255;0;0;255	F11	12-020	TOX	23.88	0.15	-	Positive	Unchecked	Unknown	-	23.78	-	-	F11	SYBR Green I	 	0.44	2.48	None			71
255;0;0;255	E6	06-225	TOX	26.17	0.14	-	Positive	Unchecked	Unknown	-	26.07	-	-	E5	SYBR Green I	 	0.43	2.21	None			54
255;0;0;255	E5	06-225	TOX	25.97	0.14	-	Positive	Unchecked	Unknown	-	26.07	-	-	E5	SYBR Green I	 	0.37	2.08	None			53
255;0;255;0	G2	GB	TOX	26.72	0.13	-	Positive	Unchecked	Positive control	-	26.62	-	-	F1	SYBR Green I	 	0.42	1.97	None			74
255;0;255;0	G1	GB	TOX	26.72	0.13	-	Positive	Unchecked	Positive control	-	26.62	-	-	F1	SYBR Green I	 	0.44	2.01	None			73
255;0;255;0	F2	GB	TOX	26.46	0.13	-	Positive	Unchecked	Positive control	-	26.62	-	-	F1	SYBR Green I	 	0.36	1.82	None			62
255;0;255;0	F1	GB	TOX	26.56	0.13	-	Positive	Unchecked	Positive control	-	26.62	-	-	F1	SYBR Green I	 	0.49	2.16	None			61
255;0;0;255	E12	10-284	TOX	24.09	0.13	-	Positive	Unchecked	Unknown	-	24.18	-	-	E11	SYBR Green I	 	0.50	2.62	None			60
255;0;0;255	E11	10-284	TOX	24.27	0.13	-	Positive	Unchecked	Unknown	-	24.18	-	-	E11	SYBR Green I	 	0.49	2.58	None			59
255;0;0;255	D2	06-206	TOX	26.57	0.11	-	Positive	Unchecked	Unknown	-	26.65	-	-	D1	SYBR Green I	 	0.38	2.12	None			38
255;0;0;255	D1	06-206	TOX	26.73	0.11	-	Positive	Unchecked	Unknown	-	26.65	-	-	D1	SYBR Green I	 	0.51	2.23	None			37
