Color	Position	Sample Name	Gene Name	Cq	Cq Error	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
255;0;0;255	G6	12-146	TOX	22.79	0.35	-	Positive	Unchecked	Unknown	-	23.04	-	-	G5	SYBR Green I	 	0.36	2.40	None			78
255;0;0;255	G5	12-146	TOX	23.28	0.35	-	Positive	Unchecked	Unknown	-	23.04	-	-	G5	SYBR Green I	 	0.38	2.43	None			77
255;0;0;255	F6	12-144	TOX	23.08	0.35	-	Positive	Unchecked	Unknown	-	23.33	-	-	F5	SYBR Green I	 	0.40	2.52	None			66
255;0;0;255	F5	12-144	TOX	23.57	0.35	-	Positive	Unchecked	Unknown	-	23.33	-	-	F5	SYBR Green I	 	0.42	2.55	None			65
255;0;0;255	E6	12-142	TOX	23.34	0.32	-	Positive	Unchecked	Unknown	-	23.57	-	-	E5	SYBR Green I	 	0.44	2.62	None			54
255;0;0;255	E5	12-142	TOX	23.79	0.32	-	Positive	Unchecked	Unknown	-	23.57	-	-	E5	SYBR Green I	 	0.45	2.60	None			53
255;0;0;255	G8	10-270	TOX	22.91	0.29	-	Positive	Unchecked	Unknown	-	23.12	-	-	G7	SYBR Green I	 	0.20	1.85	None			80
255;0;0;255	G7	10-270	TOX	23.32	0.29	-	Positive	Unchecked	Unknown	-	23.12	-	-	G7	SYBR Green I	 	0.18	1.74	None			79
255;0;0;255	B6	12-173	TOX	22.32	0.28	-	Positive	Unchecked	Unknown	-	22.52	-	-	B5	SYBR Green I	 	0.34	2.53	None			18
255;0;0;255	B5	12-173	TOX	22.71	0.28	-	Positive	Unchecked	Unknown	-	22.52	-	-	B5	SYBR Green I	 	0.38	2.50	None			17
255;0;0;255	D8	17-226	TOX	22.67	0.17	-	Positive	Unchecked	Unknown	-	22.55	-	-	D7	SYBR Green I	 	0.36	2.47	None			44
255;0;0;255	D7	17-226	TOX	22.43	0.17	-	Positive	Unchecked	Unknown	-	22.55	-	-	D7	SYBR Green I	 	0.38	2.63	None			43
255;0;0;255	D6	12-089	TOX	23.09	0.16	-	Positive	Unchecked	Unknown	-	23.20	-	-	D5	SYBR Green I	 	0.42	2.58	None			42
255;0;0;255	D5	12-089	TOX	23.31	0.16	-	Positive	Unchecked	Unknown	-	23.20	-	-	D5	SYBR Green I	 	0.44	2.61	None			41
255;0;0;255	F8	10-268	TOX	23.08	0.15	-	Positive	Unchecked	Unknown	-	23.19	-	-	F7	SYBR Green I	 	0.38	2.45	None			68
255;0;0;255	F7	10-268	TOX	23.29	0.15	-	Positive	Unchecked	Unknown	-	23.19	-	-	F7	SYBR Green I	 	0.40	2.49	None			67
255;0;0;255	B2	12-091	TOX	23.25	0.11	-	Positive	Unchecked	Unknown	-	23.33	-	-	B1	SYBR Green I	 	0.39	2.47	None			14
255;0;0;255	B1	12-091	TOX	23.41	0.11	-	Positive	Unchecked	Unknown	-	23.33	-	-	B1	SYBR Green I	 	0.50	2.75	None			13
255;0;0;255	A8	12-167	TOX	23.44	0.10	-	Positive	Unchecked	Unknown	-	23.51	-	-	A7	SYBR Green I	 	0.41	2.51	None			8
255;0;0;255	A7	12-167	TOX	23.58	0.10	-	Positive	Unchecked	Unknown	-	23.51	-	-	A7	SYBR Green I	 	0.42	2.50	None			7
255;0;0;255	D10	12-171	TOX	23.35	0.09	-	Positive	Unchecked	Unknown	-	23.42	-	-	D9	SYBR Green I	 	0.40	2.49	None			46
255;0;0;255	D9	12-171	TOX	23.48	0.09	-	Positive	Unchecked	Unknown	-	23.42	-	-	D9	SYBR Green I	 	0.45	2.60	None			45
