Color	Position	Sample Name	Gene Name	Cq	Cq Error	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
255;0;255;0	G2	GB	TOX	26.06	0.15	-	Positive	Unchecked	Positive control	-	26.28	-	-	F1	SYBR Green I	 	0.68	2.58	None			74
255;0;255;0	G1	GB	TOX	26.28	0.15	-	Positive	Unchecked	Positive control	-	26.28	-	-	F1	SYBR Green I	 	0.75	2.65	None			73
255;0;255;0	F2	GB	TOX	26.36	0.15	-	Positive	Unchecked	Positive control	-	26.28	-	-	F1	SYBR Green I	 	0.72	2.58	None			62
255;0;255;0	F1	GB	TOX	26.41	0.15	-	Positive	Unchecked	Positive control	-	26.28	-	-	F1	SYBR Green I	 	0.74	2.62	None			61
255;0;0;255	B4	13-175	TOX	23.76	0.13	-	Positive	Unchecked	Unknown	-	23.67	-	-	B3	SYBR Green I	 	0.56	2.84	None			16
255;0;0;255	B3	13-175	TOX	23.57	0.13	-	Positive	Unchecked	Unknown	-	23.67	-	-	B3	SYBR Green I	 	0.50	2.75	None			15
255;0;0;255	G4	13-006	TOX	23.69	0.13	-	Positive	Unchecked	Unknown	-	23.60	-	-	G3	SYBR Green I	 	0.54	2.79	None			76
255;0;0;255	G3	13-006	TOX	23.51	0.13	-	Positive	Unchecked	Unknown	-	23.60	-	-	G3	SYBR Green I	 	0.50	2.73	None			75
255;0;0;255	H10	17-071	TOX	23.29	0.11	-	Positive	Unchecked	Unknown	-	23.37	-	-	H9	SYBR Green I	 	0.49	2.71	None			94
255;0;0;255	H9	17-071	TOX	23.45	0.11	-	Positive	Unchecked	Unknown	-	23.37	-	-	H9	SYBR Green I	 	0.57	2.86	None			93
255;0;0;255	D2	12-054	TOX	25.52	0.11	-	Positive	Unchecked	Unknown	-	25.60	-	-	D1	SYBR Green I	 	0.31	1.71	None			38
255;0;0;255	D1	12-054	TOX	25.67	0.11	-	Positive	Unchecked	Unknown	-	25.60	-	-	D1	SYBR Green I	 	0.32	1.75	None			37
255;0;0;255	H12	17-302	TOX	23.37	0.09	-	Positive	Unchecked	Unknown	-	23.31	-	-	H11	SYBR Green I	 	0.52	2.78	None			96
255;0;0;255	H11	17-302	TOX	23.24	0.09	-	Positive	Unchecked	Unknown	-	23.31	-	-	H11	SYBR Green I	 	0.54	2.82	None			95
255;0;0;255	E4	13-009	TOX	23.46	0.09	-	Positive	Unchecked	Unknown	-	23.40	-	-	E3	SYBR Green I	 	0.56	2.86	None			52
255;0;0;255	E3	13-009	TOX	23.33	0.09	-	Positive	Unchecked	Unknown	-	23.40	-	-	E3	SYBR Green I	 	0.55	2.87	None			51
255;0;0;255	A12	17-089	TOX	23.32	0.09	-	Positive	Unchecked	Unknown	-	23.39	-	-	A11	SYBR Green I	 	0.53	2.81	None			12
255;0;0;255	A11	17-089	TOX	23.45	0.09	-	Positive	Unchecked	Unknown	-	23.39	-	-	A11	SYBR Green I	 	0.57	2.86	None			11
255;0;0;255	B12	17-090	TOX	23.42	0.08	-	Positive	Unchecked	Unknown	-	23.36	-	-	B11	SYBR Green I	 	0.57	2.88	None			24
255;0;0;255	B11	17-090	TOX	23.30	0.08	-	Positive	Unchecked	Unknown	-	23.36	-	-	B11	SYBR Green I	 	0.53	2.81	None			23
255;0;0;255	F4	13-017	TOX	23.26	0.08	-	Positive	Unchecked	Unknown	-	23.20	-	-	F3	SYBR Green I	 	0.54	2.84	None			64
255;0;0;255	F3	13-017	TOX	23.14	0.08	-	Positive	Unchecked	Unknown	-	23.20	-	-	F3	SYBR Green I	 	0.52	2.81	None			63
255;0;0;255	A6	13-031	TOX	23.23	0.08	-	Positive	Unchecked	Unknown	-	23.17	-	-	A5	SYBR Green I	 	0.56	2.88	None			6
255;0;0;255	A5	13-031	TOX	23.11	0.08	-	Positive	Unchecked	Unknown	-	23.17	-	-	A5	SYBR Green I	 	0.55	2.88	None			5
255;0;0;255	F8	16-062	TOX	23.29	0.08	-	Positive	Unchecked	Unknown	-	23.24	-	-	F7	SYBR Green I	 	0.55	2.85	None			68
255;0;0;255	F7	16-062	TOX	23.18	0.08	-	Positive	Unchecked	Unknown	-	23.24	-	-	F7	SYBR Green I	 	0.54	2.85	None			67
255;0;0;255	D8	15-174	TOX	23.27	0.08	-	Positive	Unchecked	Unknown	-	23.22	-	-	D7	SYBR Green I	 	0.56	2.87	None			44
255;0;0;255	D7	15-174	TOX	23.16	0.08	-	Positive	Unchecked	Unknown	-	23.22	-	-	D7	SYBR Green I	 	0.57	2.90	None			43
255;0;0;255	D6	13-174	TOX	23.02	0.07	-	Positive	Unchecked	Unknown	-	22.97	-	-	D5	SYBR Green I	 	0.55	2.87	None			42
255;0;0;255	D5	13-174	TOX	22.92	0.07	-	Positive	Unchecked	Unknown	-	22.97	-	-	D5	SYBR Green I	 	0.51	2.81	None			41
255;0;0;255	B8	14-046	TOX	23.49	0.07	-	Positive	Unchecked	Unknown	-	23.44	-	-	B7	SYBR Green I	 	0.55	2.84	None			20
255;0;0;255	B7	14-046	TOX	23.39	0.07	-	Positive	Unchecked	Unknown	-	23.44	-	-	B7	SYBR Green I	 	0.53	2.82	None			19
255;0;0;255	D12	17-212	TOX	23.21	0.06	-	Positive	Unchecked	Unknown	-	23.26	-	-	D11	SYBR Green I	 	0.61	3.09	None			48
255;0;0;255	D11	17-212	TOX	23.30	0.06	-	Positive	Unchecked	Unknown	-	23.26	-	-	D11	SYBR Green I	 	0.54	2.85	None			47
255;0;0;255	C10	17-087	TOX	23.33	0.06	-	Positive	Unchecked	Unknown	-	23.29	-	-	C9	SYBR Green I	 	0.45	2.63	None			34
255;0;0;255	C9	17-087	TOX	23.24	0.06	-	Positive	Unchecked	Unknown	-	23.29	-	-	C9	SYBR Green I	 	0.35	2.34	None			33
