Color	Position	Sample Name	Gene Name	Cq	Cq Error	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
255;0;0;255	B12	18-036	TELO	12.98	1.29	-	Positive	Unchecked	Unknown	-	12.07	-	-	B11	SYBR Green I	 	1.81	4.87	None			24
255;0;0;255	B11	18-036	TELO	11.15	1.29	-	Positive	Unchecked	Unknown	-	12.07	-	-	B11	SYBR Green I	 	1.58	4.66	None			23
255;0;0;255	A12	18-028	TELO	8.89	0.40	-	Positive	Unchecked	Unknown	-	8.61	-	-	A11	SYBR Green I	 	0.90	3.88	None			12
255;0;0;255	A11	18-028	TELO	8.32	0.40	-	Positive	Unchecked	Unknown	-	8.61	-	-	A11	SYBR Green I	 	0.81	3.73	None			11
255;0;0;255	A6	08-023	TOX	24.70	0.14	-	Positive	Unchecked	Unknown	-	24.60	-	-	A5	SYBR Green I	 	0.47	2.59	None			6
255;0;0;255	A5	08-023	TOX	24.50	0.14	-	Positive	Unchecked	Unknown	-	24.60	-	-	A5	SYBR Green I	 	0.49	2.65	None			5
255;0;0;255	F6	08-074	TOX	24.31	0.13	-	Positive	Unchecked	Unknown	-	24.40	-	-	F5	SYBR Green I	 	0.33	2.16	None			66
255;0;0;255	F5	08-074	TOX	24.49	0.13	-	Positive	Unchecked	Unknown	-	24.40	-	-	F5	SYBR Green I	 	0.40	2.36	None			65
255;0;0;255	D12	GB	TELO	18.26	0.12	-	Positive	Unchecked	Positive control	-	18.42	-	-	C11	SYBR Green I	 	2.25	6.04	None			48
255;0;0;255	D11	GB	TELO	18.52	0.12	-	Positive	Unchecked	Positive control	-	18.42	-	-	C11	SYBR Green I	 	2.18	5.97	None			47
255;0;0;255	C12	GB	TELO	18.40	0.12	-	Positive	Unchecked	Positive control	-	18.42	-	-	C11	SYBR Green I	 	2.22	6.00	None			36
255;0;0;255	C11	GB	TELO	18.49	0.12	-	Positive	Unchecked	Positive control	-	18.42	-	-	C11	SYBR Green I	 	2.19	6.00	None			35
255;0;0;255	E8	GB	TOX	26.21	0.11	-	Positive	Unchecked	Positive control	-	26.11	-	-	D7	SYBR Green I	 	0.64	2.49	None			56
255;0;0;255	E7	GB	TOX	26.16	0.11	-	Positive	Unchecked	Positive control	-	26.11	-	-	D7	SYBR Green I	 	0.64	2.51	None			55
255;0;0;255	D8	GB	TOX	26.10	0.11	-	Positive	Unchecked	Positive control	-	26.11	-	-	D7	SYBR Green I	 	0.63	2.49	None			44
255;0;0;255	D7	GB	TOX	25.95	0.11	-	Positive	Unchecked	Positive control	-	26.11	-	-	D7	SYBR Green I	 	0.47	2.50	None			43
255;0;0;255	G4	08-015	TOX	25.21	0.08	-	Positive	Unchecked	Unknown	-	25.15	-	-	G3	SYBR Green I	 	0.45	2.50	None			76
