Color	Position	Sample Name	Gene Name	Cq	Cq Error	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
255;0;0;255	A4	17-226	TOX	23.31	0.16	-	Positive	Unchecked	Unknown	-	23.20	-	-	A3	SYBR Green I	 	0.40	2.46	None			4
255;0;0;255	A3	17-226	TOX	23.08	0.16	-	Positive	Unchecked	Unknown	-	23.20	-	-	A3	SYBR Green I	 	0.29	2.09	None			3
255;0;0;255	A12	08-029	TOX	25.81	0.13	-	Positive	Unchecked	Unknown	-	25.72	-	-	A11	SYBR Green I	 	0.35	2.14	None			12
255;0;0;255	A11	08-029	TOX	25.62	0.13	-	Positive	Unchecked	Unknown	-	25.72	-	-	A11	SYBR Green I	 	0.33	2.07	None			11
255;0;0;255	F12	08-123	TOX	24.51	0.13	-	Positive	Unchecked	Unknown	-	24.60	-	-	F11	SYBR Green I	 	0.25	1.84	None			72
255;0;0;255	F11	08-123	TOX	24.69	0.13	-	Positive	Unchecked	Unknown	-	24.60	-	-	F11	SYBR Green I	 	0.29	2.02	None			71
255;0;0;255	E12	08-098	TOX	27.36	0.12	-	Positive	Unchecked	Unknown	-	27.45	-	-	E11	SYBR Green I	 	0.35	1.70	None			60
255;0;0;255	E11	08-098	TOX	27.53	0.12	-	Positive	Unchecked	Unknown	-	27.45	-	-	E11	SYBR Green I	 	0.36	1.67	None			59
255;0;0;255	B10	08-083	TOX	25.32	0.10	-	Positive	Unchecked	Unknown	-	25.39	-	-	B9	SYBR Green I	 	0.33	2.12	None			22
255;0;0;255	B9	08-083	TOX	25.46	0.10	-	Positive	Unchecked	Unknown	-	25.39	-	-	B9	SYBR Green I	 	0.34	2.14	None			21
255;0;0;255	B8	08-037	TOX	26.36	0.10	-	Positive	Unchecked	Unknown	-	26.43	-	-	B7	SYBR Green I	 	0.25	1.72	None			20
255;0;0;255	B7	08-037	TOX	26.50	0.10	-	Positive	Unchecked	Unknown	-	26.43	-	-	B7	SYBR Green I	 	0.30	1.81	None			19
255;0;255;0	G2	GB	TOX	26.50	0.10	-	Positive	Unchecked	Positive control	-	26.55	-	-	F1	SYBR Green I	 	0.51	2.20	None			74
255;0;255;0	G1	GB	TOX	26.66	0.10	-	Positive	Unchecked	Positive control	-	26.55	-	-	F1	SYBR Green I	 	0.59	2.32	None			73
255;0;255;0	F2	GB	TOX	26.45	0.10	-	Positive	Unchecked	Positive control	-	26.55	-	-	F1	SYBR Green I	 	0.52	2.24	None			62
255;0;255;0	F1	GB	TOX	26.60	0.10	-	Positive	Unchecked	Positive control	-	26.55	-	-	F1	SYBR Green I	 	0.54	2.22	None			61
255;0;0;255	D8	08-045	TOX	25.66	0.09	-	Positive	Unchecked	Unknown	-	25.60	-	-	D7	SYBR Green I	 	0.35	2.15	None			44
255;0;0;255	D7	08-045	TOX	25.53	0.09	-	Positive	Unchecked	Unknown	-	25.60	-	-	D7	SYBR Green I	 	0.34	2.10	None			43
255;0;0;255	D6	08-008	TOX	25.67	0.08	-	Positive	Unchecked	Unknown	-	25.73	-	-	D5	SYBR Green I	 	0.37	2.20	None			42
255;0;0;255	D5	08-008	TOX	25.79	0.08	-	Positive	Unchecked	Unknown	-	25.73	-	-	D5	SYBR Green I	 	0.37	2.22	None			41
255;0;0;255	E4	06-133	TOX	26.74	0.08	-	Positive	Unchecked	Unknown	-	26.80	-	-	E3	SYBR Green I	 	0.51	2.18	None			52
255;0;0;255	E3	06-133	TOX	26.85	0.08	-	Positive	Unchecked	Unknown	-	26.80	-	-	E3	SYBR Green I	 	0.53	2.19	None			51
255;0;0;255	G4	06-145	TOX	25.97	0.08	-	Positive	Unchecked	Unknown	-	25.92	-	-	G3	SYBR Green I	 	0.33	2.04	None			76
255;0;0;255	G3	06-145	TOX	25.86	0.08	-	Positive	Unchecked	Unknown	-	25.92	-	-	G3	SYBR Green I	 	0.33	2.07	None			75
255;0;0;255	D12	08-066	TOX	27.57	0.07	-	Positive	Unchecked	Unknown	-	27.52	-	-	D11	SYBR Green I	 	0.45	1.93	None			48
255;0;0;255	D11	08-066	TOX	27.47	0.07	-	Positive	Unchecked	Unknown	-	27.52	-	-	D11	SYBR Green I	 	0.42	1.86	None			47
255;0;0;255	E10	08-112	TOX	25.61	0.07	-	Positive	Unchecked	Unknown	-	25.56	-	-	E9	SYBR Green I	 	0.32	2.08	None			58
