Color	Position	Sample Name	Gene Name	Cq	Cq Error	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
255;0;255;0	G2	GB	TOX	26.11	0.09	-	Positive	Unchecked	Positive control	-	26.14	-	-	F1	SYBR Green I	 	0.65	2.58	None			74
255;0;255;0	G1	GB	TOX	26.23	0.09	-	Positive	Unchecked	Positive control	-	26.14	-	-	F1	SYBR Green I	 	0.77	2.75	None			73
255;0;255;0	F2	GB	TOX	26.03	0.09	-	Positive	Unchecked	Positive control	-	26.14	-	-	F1	SYBR Green I	 	0.52	2.55	None			62
255;0;255;0	F1	GB	TOX	26.17	0.09	-	Positive	Unchecked	Positive control	-	26.14	-	-	F1	SYBR Green I	 	0.74	2.73	None			61
255;0;0;255	A4	11-204	TOX	23.25	0.08	-	Positive	Unchecked	Unknown	-	23.31	-	-	A3	SYBR Green I	 	0.57	2.85	None			4
255;0;0;255	A3	11-204	TOX	23.37	0.08	-	Positive	Unchecked	Unknown	-	23.31	-	-	A3	SYBR Green I	 	0.58	2.85	None			3
255;0;0;255	H4	18-028	TOX	25.70	0.06	-	Positive	Unchecked	Unknown	-	25.75	-	-	H3	SYBR Green I	 	0.54	2.59	None			88
255;0;0;255	H3	18-028	TOX	25.79	0.06	-	Positive	Unchecked	Unknown	-	25.75	-	-	H3	SYBR Green I	 	0.53	2.54	None			87
255;0;0;255	G4	16-045	TOX	23.63	0.06	-	Positive	Unchecked	Unknown	-	23.59	-	-	G3	SYBR Green I	 	0.52	2.72	None			76
255;0;0;255	G3	16-045	TOX	23.54	0.06	-	Positive	Unchecked	Unknown	-	23.59	-	-	G3	SYBR Green I	 	0.51	2.68	None			75
255;0;0;255	B4	11-190	TOX	23.20	0.06	-	Positive	Unchecked	Unknown	-	23.24	-	-	B3	SYBR Green I	 	0.55	2.80	None			16
255;0;0;255	B3	11-190	TOX	23.28	0.06	-	Positive	Unchecked	Unknown	-	23.24	-	-	B3	SYBR Green I	 	0.55	2.79	None			15
255;0;0;255	D4	15-185	TOX	22.59	0.04	-	Positive	Unchecked	Unknown	-	22.62	-	-	D3	SYBR Green I	 	0.54	2.83	None			40
255;0;0;255	D3	15-185	TOX	22.65	0.04	-	Positive	Unchecked	Unknown	-	22.62	-	-	D3	SYBR Green I	 	0.58	2.88	None			39
255;0;0;255	E4	15-189	TOX	22.60	0.02	-	Positive	Unchecked	Unknown	-	22.59	-	-	E3	SYBR Green I	 	0.53	2.84	None			52
255;0;0;255	E3	15-189	TOX	22.57	0.02	-	Positive	Unchecked	Unknown	-	22.59	-	-	E3	SYBR Green I	 	0.56	2.92	None			51
255;0;0;255	C4	11-191	TOX	22.60	0.02	-	Positive	Unchecked	Unknown	-	22.62	-	-	C3	SYBR Green I	 	0.53	2.80	None			28
255;0;0;255	C3	11-191	TOX	22.63	0.02	-	Positive	Unchecked	Unknown	-	22.62	-	-	C3	SYBR Green I	 	0.55	2.85	None			27
255;0;0;255	A2	11-202	TOX	23.76	0.01	-	Positive	Unchecked	Unknown	-	23.77	-	-	A1	SYBR Green I	 	0.59	2.84	None			2
255;0;0;255	A1	11-202	TOX	23.78	0.01	-	Positive	Unchecked	Unknown	-	23.77	-	-	A1	SYBR Green I	 	0.61	2.89	None			1
255;0;0;255	F4	11-258	TOX	23.29	0.01	-	Positive	Unchecked	Unknown	-	23.28	-	-	F3	SYBR Green I	 	0.56	2.83	None			64
255;0;0;255	F3	11-258	TOX	23.27	0.01	-	Positive	Unchecked	Unknown	-	23.28	-	-	F3	SYBR Green I	 	0.58	2.85	None			63
255;0;0;255	B2	12-374	TOX	32.84	0.00	-	Positive	Unchecked	Unknown	-	32.84	-	-	B1	SYBR Green I	 	0.13	0.41	Replicate group contains positives and negatives.			14
255;0;0;255	H12		TOX	-	-	-	Negative	Unchecked	Non reverse transcription control	-	-	-	-	A5	SYBR Green I	 	0.01	0.15	None			96
255;0;0;255	H11		TOX	-	-	-	Negative	Unchecked	Non reverse transcription control	-	-	-	-	A5	SYBR Green I	 	0.02	0.29	None			95
255;0;0;255	H10		TOX	-	-	-	Negative	Unchecked	Non reverse transcription control	-	-	-	-	A5	SYBR Green I	 	0.02	0.16	None			94
255;0;0;255	H9		TOX	-	-	-	Negative	Unchecked	Non reverse transcription control	-	-	-	-	A5	SYBR Green I	 	0.03	0.14	None			93
255;0;0;255	H8		TOX	-	-	-	Negative	Unchecked	Non reverse transcription control	-	-	-	-	A5	SYBR Green I	 	0.04	0.43	None			92
255;0;0;255	H7		TOX	-	-	-	Negative	Unchecked	Non reverse transcription control	-	-	-	-	A5	SYBR Green I	 	0.02	0.25	None			91
255;0;0;255	H6		TOX	-	-	-	Negative	Unchecked	Non reverse transcription control	-	-	-	-	A5	SYBR Green I	 	0.02	0.14	None			90
255;0;0;255	H5		TOX	-	-	-	Negative	Unchecked	Non reverse transcription control	-	-	-	-	A5	SYBR Green I	 	0.03	0.51	None			89
255;0;0;0	H2	Negative	TOX	-	-	-	Negative	Unchecked	Negative control	-	-	-	-	H1	SYBR Green I	 	0.00	0.00	None			86
255;0;0;0	H1	Negative	TOX	-	-	-	Negative	Unchecked	Negative control	-	-	-	-	H1	SYBR Green I	 	0.00	0.00	None			85
255;0;0;255	G12		TOX	-	-	-	Negative	Unchecked	Non reverse transcription control	-	-	-	-	A5	SYBR Green I	 	0.01	0.21	None			84
255;0;0;255	G11		TOX	-	-	-	Negative	Unchecked	Non reverse transcription control	-	-	-	-	A5	SYBR Green I	 	0.03	0.51	None			83
255;0;0;255	G10		TOX	-	-	-	Negative	Unchecked	Non reverse transcription control	-	-	-	-	A5	SYBR Green I	 	0.01	0.15	None			82
255;0;0;255	G9		TOX	-	-	-	Negative	Unchecked	Non reverse transcription control	-	-	-	-	A5	SYBR Green I	 	0.03	0.41	None			81
255;0;0;255	G8		TOX	-	-	-	Negative	Unchecked	Non reverse transcription control	-	-	-	-	A5	SYBR Green I	 	0.03	0.52	None			80
